0;Miasto;Powiat;Województwo;Populacja;Obszar
382;Niepo³omice;wielicki;ma³opolskie;10 822;27,4 km?
383;Miêdzychód;miêdzychodzki;wielkopolskie;10 805;7 km?
384;Ciechocinek;aleksandrowski;kujawsko-pomorskie;10 791;15 km?
385;Biskupiec;olsztyñski;warmiñsko-mazurskie;10 626;5 km?
386;Dobre Miasto;olsztyñski;warmiñsko-mazurskie;10 599;4,9 km?
387;Kolno;kolneñski;podlaskie;10 579;25 km?
388;O¿arów Mazowiecki;warszawski zachodni;mazowieckie;10 561;5,7 km?
389;W³oszczowa;w³oszczowski;œwiêtokrzyskie;10 545;30,3 km?
390;Wasilków;bia³ostocki;podlaskie;10 511;28,3 km?
391;Bystrzyca K³odzka;k³odzki;dolnoœl¹skie;10 476;10,7 km?
392;Drezdenko;strzelecko-drezdenecki;lubuskie;10 447;10,7 km?
393;£obez;³obeski;zachodniopomorskie;10 438;12,8 km?
394;Bukowno;olkuski;ma³opolskie;10 411;65 km?
395;Murowana Goœlina;poznañski;wielkopolskie;10 386;7,2 km?
396;Syców;oleœnicki;dolnoœl¹skie;10 385;17,1 km?
397;Moñki;moniecki;podlaskie;10 352;7,7 km?
398;Sztum;sztumski;pomorskie;10 332;4,6 km?
399;Krzeszowice;krakowski;ma³opolskie;10 268;17 km?
400;Sulêcin;sulêciñski;lubuskie;10 265;8,6 km?
401;Kudowa-Zdrój;k³odzki;dolnoœl¹skie;10 241;34 km?
402;Trzebiatów;gryficki;zachodniopomorskie;10 202;10,3 km?
403;Strzelce Krajeñskie;strzelecko-drezdenecki;lubuskie;10 172;5,5 km?
404;Karczew;otwocki;mazowieckie;10 160;28,1 km?
405;Maków Mazowiecki;makowski;mazowieckie;10 118;10 km?
